phase_ns,object,q,slot,lower,upper
0,muon,0.001,1,0,0
0,muon,0.001,2,0,0
0,muon,0.001,3,0,0
0,muon,0.001,4,0,0
0,muon,0.001,5,0,0
0,muon,0.001,6,0,0
0,muon,0.001,7,0,0
0,muon,0.001,8,0,0
0,muon,0.001,9,0,0
0,muon,0.001,10,0,0
0,muon,0.001,11,0,0
0,muon,0.001,12,0,0
0,muon,0.001,86,0.00018300303517229064,0.00018300303517229064
0,muon,0.001,302,0.00018300303517229064,0.0003858239600071416
0,muon,0.001,303,0.00018300303517229064,0.0005673986788073558
0,muon,0.001,304,0.00018300303517229064,0.0007372790573111943
0,muon,0.001,305,0.00018300303517229064,0.0008935011605070521
0,muon,0.001,306,0.00018300303517229064,0.0009502767362970897
0,muon,0.001,307,0.00018300303517229064,0.0009285841813961791
0,muon,0.001,308,0.00018300303517229064,0.0008410998036064987
0,muon,0.001,309,0.00018300303517229064,0.0007476343510087484
0,muon,0.001,314,0.00018300303517229064,0.00038600249955365114
0,muon,0.001,315,0.00018300303517229064,0.0005673986788073558
0,muon,0.001,316,0.00018300303517229064,0.0007372790573111943
0,muon,0.001,317,0.00018300303517229064,0.0008935011605070521
0,muon,0.001,318,0.00018300303517229064,0.0009502767362970897
0,muon,0.001,319,0.00018300303517229064,0.0009285841813961791
0,muon,0.001,320,0.00018300303517229064,0.0008410998036064987
0,muon,0.001,321,0.00018300303517229064,0.0007476343510087484
0,muon,0.001,326,0.00018300303517229064,0.00038600249955365114
0,muon,0.001,327,0.00018300303517229064,0.0005673986788073558
0,muon,0.001,328,0.00018300303517229064,0.0007372790573111943
0,muon,0.001,329,0.00018300303517229064,0.0008935011605070521
0,muon,0.001,330,0.00018300303517229064,0.0009502767362970897
0,muon,0.001,331,0.00018300303517229064,0.0009285841813961791
0,muon,0.001,332,0.00018300303517229064,0.0008410998036064987
0,muon,0.001,333,0.00018300303517229064,0.0007476343510087484
0,muon,0.001,338,0.00018300303517229064,0.00038600249955365114
0,muon,0.001,339,0.00018300303517229064,0.0005673986788073558
0,muon,0.001,340,0.00018300303517229064,0.0007372790573111943
0,muon,0.001,341,0.00018300303517229064,0.0008935011605070521
0,muon,0.001,342,0.00018300303517229064,0.0009502767362970897
0,muon,0.001,343,0.00018300303517229064,0.0009285841813961791
0,muon,0.001,344,0.00018300303517229064,0.0008410998036064987
0,muon,0.001,345,0.00018300303517229064,0.0007476343510087484
0,muon,0.001,350,0.00018300303517229064,0.00038600249955365114
0,muon,0.001,351,0.00018300303517229064,0.0005673986788073558
0,muon,0.001,352,0.00018300303517229064,0.0007372790573111943
0,muon,0.001,353,0.00018300303517229064,0.0008935011605070521
0,muon,0.001,354,0.00018300303517229064,0.0009502767362970897
0,muon,0.001,355,0.00018300303517229064,0.0009285841813961791
0,muon,0.001,356,0.00018300303517229064,0.0008410998036064987
0,muon,0.001,357,0.00018300303517229064,0.0007476343510087484
0,muon,0.001,362,0.00018300303517229064,0.00038600249955365114
0,muon,0.001,363,0.00018300303517229064,0.0005673986788073558
0,muon,0.001,364,0.00018300303517229064,0.0007372790573111943
0,muon,0.001,365,0.00018300303517229064,0.0008935011605070521
0,muon,0.001,366,0.00018300303517229064,0.0009502767362970897
0,muon,0.001,367,0.00018300303517229064,0.0009285841813961791
0,muon,0.001,368,0.00018300303517229064,0.0008410998036064987
0,muon,0.001,369,0.00018300303517229064,0.0007476343510087484
0,muon,0.001,374,0.00018300303517229064,0.00038600249955365114
0,muon,0.001,375,0.00018300303517229064,0.0005673986788073558
0,muon,0.001,376,0.00018300303517229064,0.0007372790573111943
0,muon,0.001,377,0.00018300303517229064,0.0008935011605070521
0,muon,0.001,378,0.00018300303517229064,0.0009502767362970897
