phase_ns,object,q,lower,upper,expected_reconstructed_readouts,denominator
0,muon,0.001,0.00017704053026692794,0.0008106236847251106,0.0008106236847251106,11202
0,muon,0.01,0.0017704053026692819,0.008106236847251175,0.008106236847251175,11202
0,muon,0.05,0.00885202651334641,0.04053118423625579,0.04053118423625579,11202
0,dimuon,0.001,3.644444086470446e-05,0.00013207049045574172,0.00013207049045574172,5601
0,dimuon,0.01,0.00036444440864704156,0.0013207049045574145,0.0013207049045574145,5601
0,dimuon,0.05,0.001822222043235226,0.006603524522787034,0.006603524522787034,5601
5,muon,0.001,0.0001764360016269905,0.0008263937830650504,0.0008263937830650504,11202
5,muon,0.01,0.001764360016269935,0.008263937830650525,0.008263937830650525,11202
5,muon,0.05,0.008821800081349612,0.041319689153252646,0.041319689153252646,11202
5,dimuon,0.001,3.661716333325701e-05,0.000132600292017314,0.000132600292017314,5601
5,dimuon,0.01,0.0003661716333325705,0.001326002920173128,0.001326002920173128,5601
5,dimuon,0.05,0.0018308581666628735,0.006630014600865654,0.006630014600865654,5601
10,muon,0.001,0.00017695416903265184,0.0008438799194021506,0.0008438799194021506,11202
10,muon,0.01,0.0017695416903265196,0.008438799194021445,0.008438799194021445,11202
10,muon,0.05,0.008847708451632616,0.042193995970107416,0.042193995970107416,11202
10,dimuon,0.001,3.799894308168226e-05,0.00013926308361512655,0.00013926308361512655,5601
10,dimuon,0.01,0.0003799894308168189,0.0013926308361512688,0.0013926308361512688,5601
10,dimuon,0.05,0.0018999471540841089,0.006963154180756275,0.006963154180756275,5601
15,muon,0.001,0.00017626327915843773,0.0008393759349274836,0.0008393759349274836,11202
15,muon,0.01,0.0017626327915843808,0.008393759349274842,0.008393759349274842,11202
15,muon,0.05,0.008813163957921984,0.04196879674637408,0.04196879674637408,11202
15,dimuon,0.001,3.713533073891681e-05,0.00013609590840160516,0.00013609590840160516,5601
15,dimuon,0.01,0.0003713533073891652,0.0013609590840160534,0.0013609590840160534,5601
15,dimuon,0.05,0.001856766536945826,0.006804795420080262,0.006804795420080262,5601
20,muon,0.001,0.00017583147298705682,0.0008252147061100374,0.0008252147061100374,11202
20,muon,0.01,0.0017583147298705702,0.008252147061100359,0.008252147061100359,11202
20,muon,0.05,0.008791573649352817,0.04126073530550172,0.04126073530550172,11202
20,dimuon,0.001,3.661716333325701e-05,0.00013052762239467689,0.00013052762239467689,5601
20,dimuon,0.01,0.0003661716333325705,0.0013052762239467598,0.0013052762239467598,5601
20,dimuon,0.05,0.0018308581666628735,0.006526381119733795,0.006526381119733795,5601
